TimesheetID,EmployeeID,ProjectID,Date,WorkingHours,OvertimeHours,AttendanceStatus
81,236,80,2025-02-20,6.0,0.0,WFH
82,924,51,2026-06-09,6.3,0.0,Present
83,243,85,2025-06-17,9.4,1.4,Present
84,360,98,2024-08-07,7.8,0.0,Present
85,656,80,2025-09-04,9.4,1.4,Present
86,163,69,2025-12-10,0.0,0.0,Leave
87,576,5,2024-08-12,9.1,1.1,Present
88,83,86,2026-03-16,7.2,0.0,Present
89,618,80,2024-06-21,8.5,0.5,Present
90,58,64,2025-05-09,8.8,0.8,Present
91,964,95,2024-08-17,9.3,1.3,Present
92,41,94,2025-06-21,8.9,0.9,WFH
93,847,67,2024-10-23,7.1,0.0,Present
94,310,69,2025-05-25,6.8,0.0,Present
95,373,71,2025-02-22,9.2,1.2,Present
96,437,97,2026-01-09,7.0,0.0,Present
97,22,15,2026-05-03,6.7,0.0,Present
98,288,42,2025-08-19,6.9,0.0,Present
99,812,31,2024-10-21,0.0,0.0,Leave
100,609,72,2025-08-20,8.0,0.0,WFH
101,469,1,2024-06-17,9.1,1.1,Present
102,812,67,2025-10-03,6.0,0.0,Present
103,222,34,2025-07-27,9.6,1.6,Present
104,790,55,2024-12-21,7.5,0.0,Present
105,389,2,2025-07-13,6.1,0.0,WFH
106,419,60,2024-07-23,7.7,0.0,Present
107,184,40,2025-03-08,0.0,0.0,Leave
108,56,32,2025-12-27,7.4,0.0,Present
109,92,80,2025-02-09,9.1,1.1,Present
110,476,84,2025-02-18,7.8,0.0,Present
111,633,66,2026-05-11,8.7,0.7,Present
112,461,79,2025-04-13,6.3,0.0,Present
113,107,61,2025-05-24,9.1,1.1,Present
114,839,58,2026-01-16,7.7,0.0,WFH
115,270,37,2025-09-10,9.0,1.0,Present
116,708,89,2025-11-30,6.9,0.0,Present
117,129,22,2025-12-24,6.8,0.0,Present
118,443,2,2025-07-24,6.8,0.0,Present
119,566,51,2025-07-28,0.0,0.0,Leave
120,804,48,2025-03-27,7.5,0.0,Present
121,314,16,2025-04-26,10.0,2.0,Present
122,672,49,2026-05-26,6.8,0.0,Present
123,353,74,2025-05-17,7.9,0.0,Present
124,483,57,2024-06-23,6.1,0.0,Present
125,605,64,2026-04-05,6.2,0.0,WFH
126,607,30,2025-03-26,6.9,0.0,Present
127,41,15,2026-02-11,9.8,1.8,Present
128,578,67,2025-09-21,6.4,0.0,Present
129,638,8,2025-04-13,7.8,0.0,Present
130,251,61,2026-04-22,7.3,0.0,Present
131,690,24,2024-08-01,6.4,0.0,Present
132,412,99,2024-12-29,8.8,0.8,Present
133,283,13,2025-11-28,6.6,0.0,WFH
134,910,38,2026-04-02,8.5,0.5,Present
135,830,46,2025-01-31,8.3,0.3,WFH
136,531,23,2026-04-28,7.7,0.0,Present
137,142,39,2024-12-01,8.8,0.8,Present
138,831,34,2024-10-19,0.0,0.0,Leave
139,960,17,2024-10-05,9.2,1.2,WFH
140,85,11,2025-10-01,8.2,0.2,Present
141,568,64,2026-05-05,7.5,0.0,Present
142,769,47,2026-02-01,8.0,0.0,Present
143,511,41,2025-12-17,8.6,0.6,Present
144,287,29,2025-08-02,6.0,0.0,Present
145,995,12,2024-08-21,6.4,0.0,Present
146,105,46,2024-11-11,7.7,0.0,Present
147,726,3,2025-10-27,7.1,0.0,Present
148,803,67,2024-11-28,9.4,1.4,Present
149,501,90,2025-07-15,7.1,0.0,Present
150,159,27,2025-11-13,7.9,0.0,Present
151,967,38,2025-12-08,6.9,0.0,Present
152,420,81,2024-08-04,9.6,1.6,Present
153,89,20,2025-07-21,6.6,0.0,Present
154,967,23,2024-10-28,8.8,0.8,WFH
155,948,84,2025-10-17,9.8,1.8,Present
156,441,20,2025-05-16,9.2,1.2,Present
157,330,78,2026-03-30,6.4,0.0,Present
158,547,37,2025-08-02,8.2,0.2,Present
159,54,21,2025-06-11,6.2,0.0,Present
160,789,30,2025-05-17,8.8,0.8,Present
161,513,50,2024-08-22,8.2,0.2,WFH
162,544,92,2025-06-08,8.1,0.1,Present
163,436,98,2026-06-11,8.3,0.3,Present
164,962,87,2025-04-05,7.8,0.0,Present
165,531,77,2024-07-26,9.3,1.3,WFH
166,525,61,2024-07-13,9.1,1.1,Present
167,723,42,2024-09-26,8.2,0.2,Present
168,203,72,2025-02-22,6.3,0.0,Present
169,962,1,2026-04-29,9.6,1.6,Present
170,582,53,2024-07-01,6.3,0.0,Present
171,328,49,2024-11-12,6.3,0.0,Present
172,890,14,2025-01-26,6.3,0.0,Present
173,743,87,2024-09-15,8.9,0.9,Present
174,483,98,2025-07-03,9.4,1.4,Present
175,406,47,2025-01-21,8.1,0.1,Present
176,958,86,2025-04-16,8.5,0.5,WFH
177,984,98,2025-10-10,7.7,0.0,Present
178,146,86,2024-10-09,8.4,0.4,Present
179,556,63,2025-06-19,9.0,1.0,Present
180,374,15,2026-06-03,9.2,1.2,Present
181,565,37,2026-01-25,6.4,0.0,Present
182,360,60,2025-10-08,8.4,0.4,Present
183,334,79,2024-07-02,9.7,1.7,Present
184,460,73,2024-08-30,7.8,0.0,Present
185,997,46,2026-03-31,7.5,0.0,Present
186,581,68,2025-11-03,7.9,0.0,Present
187,145,85,2024-12-24,0.0,0.0,Leave
188,852,8,2025-12-27,9.5,1.5,Present
189,576,27,2025-10-06,8.2,0.2,WFH
190,53,10,2026-04-27,9.9,1.9,WFH
191,794,32,2024-08-28,9.3,1.3,Present
192,284,54,2025-05-17,9.6,1.6,Present
193,277,84,2025-07-09,6.6,0.0,WFH
194,315,91,2025-11-19,6.9,0.0,Present
195,788,92,2024-12-09,0.0,0.0,Leave
196,66,63,2025-07-02,9.2,1.2,Present
197,582,50,2024-06-21,8.7,0.7,Present
198,923,59,2024-10-15,7.3,0.0,Present
199,469,86,2025-05-24,9.5,1.5,Present
200,665,36,2025-02-22,8.2,0.2,Present
201,952,58,2025-03-13,0.0,0.0,Leave
202,675,57,2025-06-02,6.5,0.0,Present
203,911,53,2025-03-24,6.2,0.0,Present
204,593,83,2024-12-21,6.3,0.0,Present
205,730,34,2025-10-19,6.0,0.0,Present
206,139,42,2025-01-11,6.7,0.0,Present
207,876,100,2026-02-04,9.1,1.1,Present
208,792,29,2025-08-22,7.8,0.0,Present
209,660,52,2024-08-24,6.7,0.0,Present
210,625,90,2025-07-18,6.9,0.0,Present
211,120,62,2025-04-28,8.4,0.4,Present
212,885,26,2025-12-23,8.2,0.2,Present
213,307,8,2025-10-24,8.9,0.9,Present
214,910,82,2024-12-29,6.4,0.0,Present
215,148,97,2025-12-10,7.2,0.0,WFH
216,928,17,2026-02-26,8.7,0.7,Present
217,326,35,2026-03-02,7.9,0.0,Present
218,879,73,2025-04-12,7.8,0.0,Present
219,259,100,2026-03-08,7.2,0.0,Present
220,713,58,2025-03-23,9.0,1.0,WFH
221,749,37,2024-10-20,7.3,0.0,Present
222,594,61,2025-01-10,9.4,1.4,Present
223,109,42,2025-02-06,8.8,0.8,WFH
224,101,4,2026-04-27,8.5,0.5,Present
225,981,60,2025-10-22,6.0,0.0,Present
226,295,77,2025-02-17,8.7,0.7,Present
227,751,41,2025-03-15,9.7,1.7,Present
228,213,17,2025-12-30,6.6,0.0,Present
229,254,5,2026-06-10,6.6,0.0,Present
230,499,36,2024-08-09,6.7,0.0,Present
231,860,5,2026-04-20,9.1,1.1,Present
232,167,68,2025-11-11,6.9,0.0,Present
233,286,49,2025-04-11,9.3,1.3,Present
234,366,3,2026-01-19,9.3,1.3,Present
235,754,34,2024-08-15,8.3,0.3,Present
236,644,68,2025-08-01,9.0,1.0,Present
237,964,26,2025-04-19,8.6,0.6,WFH
238,389,64,2025-01-08,6.9,0.0,WFH
239,467,35,2026-03-28,7.6,0.0,Present
240,116,22,2025-01-02,6.3,0.0,Present
241,963,69,2025-02-01,7.5,0.0,Present
242,61,31,2025-01-06,9.2,1.2,Present
243,372,34,2024-11-21,9.8,1.8,WFH
244,870,55,2025-06-13,9.2,1.2,Present
245,943,84,2026-01-02,9.0,1.0,WFH
246,258,84,2025-06-20,9.0,1.0,Present
247,769,52,2026-02-16,6.1,0.0,Present
248,820,87,2025-06-13,6.4,0.0,WFH
249,921,36,2024-09-07,6.9,0.0,WFH
250,886,14,2024-11-05,8.5,0.5,Present
251,591,30,2024-10-29,7.8,0.0,Present
252,308,23,2024-08-01,6.9,0.0,Present
253,80,93,2025-03-13,9.1,1.1,Present
254,516,22,2024-09-03,9.1,1.1,Present
255,662,65,2025-04-14,8.6,0.6,Present
256,249,29,2025-12-01,6.8,0.0,Present
257,484,50,2024-06-19,6.3,0.0,Present
258,640,98,2025-11-19,6.7,0.0,Present
259,901,66,2025-10-29,6.3,0.0,WFH
260,193,96,2024-10-17,7.5,0.0,Present
261,100,74,2025-03-31,9.8,1.8,Present
262,270,12,2025-03-10,8.7,0.7,Present
263,289,33,2025-05-01,8.4,0.4,Present
264,943,24,2024-11-03,6.6,0.0,Present
265,473,75,2024-11-25,9.3,1.3,Present
266,729,86,2025-12-06,7.6,0.0,Present
267,21,8,2025-02-24,7.3,0.0,Present
268,671,58,2025-01-08,8.0,0.0,Present
269,262,73,2025-08-31,9.2,1.2,WFH
270,499,43,2024-09-03,8.0,0.0,Present
271,974,78,2025-09-23,7.9,0.0,WFH
272,685,72,2024-11-16,9.0,1.0,Present
273,644,94,2024-12-19,9.2,1.2,Present
274,241,100,2026-02-22,7.7,0.0,Present
275,732,26,2026-05-01,9.1,1.1,Present
276,510,72,2024-06-19,6.1,0.0,Present
277,562,78,2025-11-06,7.3,0.0,Present
278,931,93,2025-05-03,7.4,0.0,WFH
279,201,73,2025-02-14,7.3,0.0,Present
280,272,39,2026-01-15,6.4,0.0,Present
281,500,99,2024-06-18,7.5,0.0,Present
282,404,18,2024-08-22,7.2,0.0,Present
283,994,25,2025-06-11,8.8,0.8,Present
284,431,18,2024-12-01,8.1,0.1,Present
285,89,19,2025-06-18,7.9,0.0,Present
286,547,70,2025-12-21,8.8,0.8,Present
287,293,9,2025-06-18,8.6,0.6,Present
288,824,83,2026-03-25,0.0,0.0,Leave
289,612,96,2024-12-13,9.8,1.8,Present
290,991,85,2025-11-24,8.6,0.6,Present
291,640,39,2025-09-15,9.2,1.2,Present
292,79,5,2025-10-16,9.4,1.4,Present
293,958,37,2025-08-04,9.4,1.4,Present
294,10,45,2024-07-16,6.6,0.0,Present
295,792,89,2025-09-06,6.3,0.0,Present
296,863,87,2025-03-14,9.6,1.6,Present
297,695,69,2026-04-22,6.5,0.0,Present
298,463,54,2026-01-07,7.7,0.0,Present
299,961,99,2024-08-31,7.2,0.0,Present
300,619,35,2025-09-05,8.2,0.2,Present
301,911,22,2026-03-26,0.0,0.0,Leave
302,233,54,2026-03-04,9.6,1.6,Present
303,954,76,2024-07-24,8.6,0.6,Present
304,556,92,2026-01-03,6.2,0.0,Present
305,462,100,2025-04-01,8.2,0.2,Present
306,855,40,2024-10-17,7.1,0.0,Present
307,571,69,2025-05-24,8.9,0.9,Present
308,737,82,2024-07-06,7.7,0.0,Present
309,369,94,2025-11-14,8.6,0.6,Present
310,726,82,2024-06-20,0.0,0.0,Leave
311,489,87,2024-12-03,7.9,0.0,Present
312,111,15,2026-05-31,7.4,0.0,Present
313,60,83,2024-08-20,9.9,1.9,Present
314,719,14,2026-02-11,10.0,2.0,WFH
315,118,73,2024-10-06,6.1,0.0,Present
316,579,90,2024-10-22,8.7,0.7,Present
317,554,96,2025-01-16,0.0,0.0,Leave
318,785,74,2025-02-16,7.1,0.0,Present
319,401,72,2024-06-23,7.9,0.0,Present
320,944,88,2024-07-19,7.8,0.0,Present
321,614,94,2026-01-23,0.0,0.0,Leave
322,485,22,2025-04-20,7.3,0.0,Present
323,577,17,2026-05-07,7.0,0.0,Present
324,542,67,2026-02-19,8.4,0.4,Present
325,359,37,2025-09-14,7.6,0.0,Present
326,652,89,2025-01-10,6.2,0.0,Present
327,674,68,2024-06-25,7.1,0.0,Present
328,474,49,2025-12-14,6.1,0.0,WFH
329,329,95,2025-02-19,6.9,0.0,Present
330,573,89,2026-05-03,9.9,1.9,WFH
331,675,87,2025-03-01,0.0,0.0,Leave
332,186,54,2026-03-12,0.0,0.0,Leave
333,340,26,2026-05-23,7.5,0.0,Present
334,471,21,2025-07-14,6.8,0.0,Present
335,197,49,2025-01-07,8.6,0.6,Present
336,40,99,2026-05-01,8.6,0.6,Present
337,302,7,2026-05-09,9.8,1.8,Present
338,705,52,2025-10-22,7.3,0.0,Present
339,222,21,2025-08-26,9.5,1.5,Present
340,637,72,2024-09-05,7.1,0.0,Present
341,416,57,2025-04-11,6.6,0.0,WFH
342,169,55,2026-03-06,6.2,0.0,Present
343,889,96,2026-02-07,6.5,0.0,Present
344,779,47,2024-06-21,9.2,1.2,WFH
345,465,29,2024-12-22,0.0,0.0,Leave
346,518,96,2025-11-19,7.3,0.0,Present
347,897,96,2024-11-04,7.3,0.0,Present
348,498,61,2025-12-17,8.3,0.3,Present
349,171,31,2026-03-04,7.9,0.0,Present
350,553,14,2025-07-28,7.8,0.0,Present
351,245,54,2026-01-05,8.1,0.1,Present
352,337,61,2025-10-17,7.3,0.0,Present
353,895,38,2024-11-15,7.5,0.0,WFH
354,109,17,2025-05-28,0.0,0.0,Leave
355,414,67,2024-08-02,7.4,0.0,Present
356,956,15,2025-11-26,8.6,0.6,Present
357,712,86,2026-06-05,7.6,0.0,Present
358,651,29,2024-06-19,6.4,0.0,WFH
359,614,23,2024-07-23,10.0,2.0,Present
360,502,86,2025-05-11,7.0,0.0,Present
361,300,97,2025-05-27,6.4,0.0,WFH
362,436,51,2024-12-02,6.7,0.0,Present
363,250,91,2026-04-06,9.3,1.3,Present
364,887,51,2026-05-27,9.6,1.6,Present
365,688,56,2025-10-02,6.4,0.0,Present
366,666,9,2025-10-01,7.9,0.0,Present
367,739,74,2025-10-11,9.5,1.5,Present
368,678,54,2026-04-08,7.6,0.0,Present
369,169,58,2026-05-16,8.5,0.5,Present
370,537,21,2025-09-24,9.8,1.8,Present
371,474,14,2025-12-04,7.1,0.0,Present
372,427,47,2025-12-02,8.8,0.8,Present
373,830,17,2024-08-25,0.0,0.0,Leave
374,717,70,2025-06-29,9.6,1.6,Present
375,550,12,2025-08-21,7.7,0.0,Present
376,23,79,2025-06-29,9.1,1.1,Present
377,707,55,2025-05-12,9.3,1.3,Present
378,314,79,2024-09-05,7.6,0.0,Present
379,583,30,2025-11-17,9.5,1.5,Present
380,963,61,2025-02-06,6.3,0.0,WFH
381,354,99,2026-03-22,0.0,0.0,Leave
382,581,70,2025-12-06,7.4,0.0,Present
383,366,43,2026-02-08,7.1,0.0,Present
384,912,95,2024-07-19,6.6,0.0,Present
385,976,62,2024-09-30,0.0,0.0,Leave
386,931,85,2025-03-02,8.8,0.8,Present
387,237,57,2025-08-19,8.5,0.5,Present
388,532,19,2026-04-14,7.8,0.0,Present
389,607,27,2024-12-07,9.5,1.5,WFH
390,569,47,2024-09-21,6.4,0.0,Present
391,110,7,2025-03-08,8.3,0.3,Present
392,999,3,2026-02-17,6.6,0.0,Present
393,254,18,2025-12-11,6.4,0.0,Present
394,414,7,2025-12-06,8.1,0.1,Present
395,144,84,2025-05-31,8.2,0.2,WFH
396,34,47,2025-01-09,7.7,0.0,Present
397,795,70,2025-07-11,7.1,0.0,Present
398,658,50,2026-01-29,9.6,1.6,WFH
399,809,34,2025-01-11,0.0,0.0,Leave
400,959,14,2025-06-17,6.9,0.0,Present
401,200,20,2025-11-03,9.4,1.4,Present
402,480,26,2024-07-12,8.1,0.1,Present
403,618,72,2025-02-03,6.6,0.0,Present
404,851,61,2025-01-21,9.2,1.2,Present
405,259,83,2025-12-25,8.7,0.7,Present
406,963,80,2026-04-25,6.8,0.0,Present
407,96,55,2025-04-29,9.1,1.1,WFH
408,947,34,2026-03-08,8.3,0.3,WFH
409,186,28,2025-08-12,9.9,1.9,Present
410,862,91,2025-05-10,7.9,0.0,Present
411,459,3,2026-05-01,7.2,0.0,WFH
412,344,97,2026-02-09,7.4,0.0,Present
413,370,22,2025-09-18,6.5,0.0,Present
414,32,46,2025-01-21,9.5,1.5,Present
415,729,74,2026-01-01,9.7,1.7,Present
416,909,84,2026-02-16,0.0,0.0,Leave
417,132,82,2026-04-20,9.8,1.8,Present
418,786,48,2024-09-11,8.7,0.7,Present
419,863,73,2025-12-21,6.8,0.0,Present
420,924,94,2024-10-31,8.9,0.9,Present
421,516,71,2024-09-09,6.1,0.0,Present
422,418,19,2026-04-30,7.7,0.0,Present
423,839,37,2025-08-25,8.6,0.6,WFH
424,358,27,2025-08-29,8.6,0.6,Present
425,229,12,2024-07-23,8.4,0.4,Present
426,242,42,2024-08-05,6.5,0.0,Present
427,808,63,2025-01-13,7.2,0.0,Present
428,39,59,2024-11-30,7.8,0.0,Present
429,438,92,2025-02-03,9.8,1.8,WFH
430,362,19,2024-08-05,7.8,0.0,WFH
431,899,39,2024-06-21,6.0,0.0,Present
432,629,96,2026-05-25,9.4,1.4,Present
433,583,77,2025-11-30,8.4,0.4,Present
434,621,81,2025-04-16,6.7,0.0,Present
435,981,36,2024-09-08,6.8,0.0,Present
436,14,54,2025-08-17,7.6,0.0,Present
437,780,43,2025-10-10,9.6,1.6,Present
438,660,18,2026-01-30,7.1,0.0,Present
439,420,66,2024-08-15,0.0,0.0,Leave
440,477,69,2025-08-25,9.7,1.7,WFH
441,757,52,2026-03-27,6.3,0.0,Present
442,641,41,2025-11-07,8.6,0.6,Present
443,669,15,2025-03-25,8.6,0.6,Present
444,700,100,2025-10-16,7.0,0.0,Present
445,33,91,2025-09-26,7.1,0.0,Present
446,740,99,2026-05-13,7.5,0.0,Present
447,704,79,2025-03-20,8.7,0.7,Present
448,119,44,2026-03-07,8.2,0.2,Present
449,651,53,2024-10-08,8.3,0.3,WFH
450,245,31,2025-10-14,9.0,1.0,Present
451,360,30,2024-09-11,6.8,0.0,Present
452,140,51,2025-07-26,7.1,0.0,Present
453,999,61,2024-07-31,9.9,1.9,Present
454,389,59,2025-10-11,9.1,1.1,Present
455,505,17,2025-04-29,6.3,0.0,Present
456,939,54,2024-10-09,0.0,0.0,Leave
457,697,67,2024-07-11,9.6,1.6,WFH
458,890,85,2026-02-02,8.9,0.9,Present
459,381,86,2025-01-17,0.0,0.0,Leave
460,18,91,2026-03-12,8.6,0.6,Present
461,83,40,2026-01-27,7.3,0.0,Present
462,988,93,2025-02-18,8.8,0.8,Present
463,252,70,2024-11-22,8.1,0.1,Present
464,982,64,2026-05-18,6.5,0.0,WFH
465,882,26,2026-05-14,7.3,0.0,Present
466,889,33,2025-11-14,6.9,0.0,Present
467,493,8,2025-10-15,9.1,1.1,WFH
468,688,89,2025-05-27,7.4,0.0,Present
469,661,32,2024-09-27,7.1,0.0,Present
470,455,50,2025-10-20,8.7,0.7,Present
471,365,74,2025-12-20,8.2,0.2,Present
472,434,80,2025-11-15,0.0,0.0,Leave
473,686,68,2025-05-13,10.0,2.0,Present
474,608,73,2024-09-22,7.8,0.0,Present
475,57,33,2026-04-30,8.6,0.6,Present
476,235,6,2024-12-06,9.4,1.4,Present
477,283,16,2025-07-09,7.2,0.0,Present
478,410,23,2025-06-13,6.1,0.0,Present
479,804,14,2025-09-08,6.3,0.0,Present
480,593,6,2025-11-22,6.4,0.0,WFH
481,490,51,2026-05-13,9.2,1.2,Present
482,434,78,2024-12-04,6.3,0.0,Present
483,858,43,2024-07-01,7.9,0.0,WFH
484,209,29,2025-02-12,6.4,0.0,Present
485,706,14,2026-04-26,7.9,0.0,Present
486,65,38,2026-04-26,6.6,0.0,Present
487,86,96,2025-11-01,9.6,1.6,Present
488,444,35,2024-09-26,8.6,0.6,Present
489,563,39,2025-05-15,6.0,0.0,Present
490,952,72,2026-04-28,7.3,0.0,Present
491,325,22,2024-11-23,9.2,1.2,Present
492,486,78,2024-10-14,7.9,0.0,Present
493,669,22,2024-10-20,8.3,0.3,Present
494,842,80,2024-08-14,6.9,0.0,Present
495,952,59,2024-10-18,7.0,0.0,Present
496,591,95,2024-10-28,7.8,0.0,WFH
497,526,38,2024-10-16,6.0,0.0,Present
498,764,28,2026-04-23,9.2,1.2,Present
499,100,80,2024-11-03,7.3,0.0,Present
500,595,63,2025-06-14,6.1,0.0,Present
501,877,87,2024-10-01,0.0,0.0,Leave
502,626,71,2025-07-23,7.9,0.0,Present
503,820,100,2024-08-30,7.7,0.0,Present
504,683,11,2025-11-22,6.8,0.0,Present
505,440,37,2025-12-24,8.0,0.0,Present
506,526,82,2025-04-26,6.9,0.0,Present
507,148,23,2026-02-23,9.6,1.6,Present
508,809,28,2024-12-11,7.0,0.0,Present
509,43,78,2024-08-04,9.1,1.1,Present
510,126,48,2024-08-16,0.0,0.0,Leave
511,984,36,2024-07-22,6.3,0.0,Present
512,18,70,2026-03-25,7.2,0.0,WFH
513,928,92,2025-06-23,8.9,0.9,Present
514,450,18,2025-12-06,6.5,0.0,Present
515,265,31,2026-05-20,10.0,2.0,Present
516,334,58,2024-07-06,0.0,0.0,Leave
517,571,50,2024-10-05,7.8,0.0,Present
518,72,89,2025-11-18,8.6,0.6,WFH
519,707,95,2025-06-10,6.4,0.0,Present
520,838,4,2026-03-14,9.2,1.2,WFH
521,323,38,2025-05-01,7.9,0.0,Present
522,768,56,2025-09-13,7.7,0.0,Present
523,129,40,2025-03-03,7.1,0.0,Present
524,738,90,2024-07-03,6.9,0.0,Present
525,466,61,2026-04-11,6.3,0.0,Present
526,470,14,2025-10-30,7.5,0.0,Present
527,25,60,2025-11-22,10.0,2.0,Present
528,663,45,2025-07-08,8.5,0.5,Present
529,718,52,2024-11-24,8.3,0.3,WFH
530,652,99,2025-11-05,7.6,0.0,Present
531,194,100,2025-02-04,6.1,0.0,Present
532,373,10,2025-01-06,0.0,0.0,Leave
533,100,81,2026-03-08,9.7,1.7,Present
534,935,62,2026-01-06,6.3,0.0,Present
535,397,35,2024-07-21,6.5,0.0,Present
536,303,21,2024-10-31,7.3,0.0,Present
537,101,21,2025-09-02,6.3,0.0,Present
538,767,31,2024-12-04,10.0,2.0,Present
539,935,68,2024-06-22,7.2,0.0,WFH
540,332,59,2025-12-19,8.9,0.9,Present
541,14,80,2025-01-29,9.9,1.9,Present
542,133,91,2025-06-21,8.0,0.0,Present
543,907,33,2024-09-30,8.5,0.5,Present
544,528,55,2025-11-11,7.1,0.0,Present
545,169,65,2025-02-02,6.3,0.0,Present
546,132,65,2026-02-13,6.2,0.0,Present
547,412,51,2025-01-20,8.9,0.9,Present
548,238,45,2025-10-24,9.2,1.2,Present
549,407,61,2025-12-24,7.9,0.0,Present
550,741,15,2024-09-06,8.2,0.2,Present
551,223,70,2024-10-28,7.1,0.0,Present
552,554,49,2025-03-21,9.9,1.9,Present
553,36,42,2025-07-26,8.4,0.4,Present
554,349,73,2024-06-24,7.4,0.0,Present
555,827,29,2025-01-22,9.6,1.6,Present
556,944,42,2026-02-24,8.5,0.5,Present
557,132,13,2025-04-23,8.6,0.6,Present
558,335,26,2025-01-20,8.4,0.4,Present
559,946,40,2026-03-24,0.0,0.0,Leave
560,666,71,2025-11-24,7.4,0.0,Present
561,605,21,2025-02-08,7.9,0.0,Present
562,608,53,2026-05-31,7.3,0.0,Present
563,560,78,2025-05-25,8.5,0.5,WFH
564,167,54,2026-02-19,8.2,0.2,Present
565,726,3,2025-05-03,6.4,0.0,Present
566,180,22,2025-11-22,7.7,0.0,WFH
567,842,14,2026-06-06,9.4,1.4,Present
568,179,6,2025-11-27,7.4,0.0,Present
569,996,61,2024-12-09,7.5,0.0,Present
570,338,66,2024-08-10,8.0,0.0,WFH
571,88,77,2025-06-11,9.6,1.6,Present
572,687,75,2025-03-18,9.8,1.8,Present
573,585,58,2024-11-11,7.7,0.0,Present
574,620,30,2026-02-08,8.3,0.3,WFH
